Treat,Judge,Replicate,Day,Score
0,1,1,1,2
0,1,1,2,4
dcs,1,1,1,4
dcs,1,1,2,4
d,2,1,1,5
d,2,1,2,4
cs,2,1,1,2
cs,2,1,2,1
c,3,1,1,1
c,3,1,2,3
ds,3,1,1,3
ds,3,1,2,2
s,4,1,1,1
s,4,1,2,3
dc,4,1,1,3
dc,4,1,2,4
0,5,2,1,4
0,5,2,2,2
cs,5,2,1,3
cs,5,2,2,4
d,6,2,1,1
d,6,2,2,2
dcs,6,2,1,3
dcs,6,2,2,3
c,7,2,1,3
c,7,2,2,3
s,7,2,1,4
s,7,2,2,4
dc,8,2,1,4
dc,8,2,2,4
ds,8,2,1,3
ds,8,2,2,2
0,9,3,1,3
0,9,3,2,2
ds,9,3,1,4
ds,9,3,2,3
d,10,3,1,1
d,10,3,2,1
s,10,3,1,2
s,10,3,2,1
c,11,3,1,3
c,11,3,2,3
dcs,11,3,1,3
dcs,11,3,2,3
dc,12,3,1,3
dc,12,3,2,3
cs,12,3,1,1
cs,12,3,2,2
0,13,4,1,3
0,13,4,2,4
dc,13,4,1,2
dc,13,4,2,3
d,14,4,1,4
d,14,4,2,4
c,14,4,1,2
c,14,4,2,2
s,15,4,1,5
s,15,4,2,5
dcs,15,4,1,4
dcs,15,4,2,4
ds,16,4,1,4
ds,16,4,2,3
cs,16,4,1,3
cs,16,4,2,4
