County,PNR,Pop,Rural,MedAge,Travel,Hsgrad,Collgrad,MedInc,Black,Hisp,AbsBal
ALAMANCE,0.0116,163339,28.6,40,23.5,84.7,22.1,54263,19,11,32180
ALEXANDER,0.0044,38206,72.8,42,25.3,80.6,13.3,51893,5,4,8500
ALLEGHANY,0.0082,11387,100,49,26.1,81,18.6,45244,1,9,3043
ANSON,0.0357,25460,78.5,40,28,80.4,9.5,42500,48,3,4000
ASHE,0.0082,27418,84.9,47,26.8,83.3,19.5,47509,1,5,5981
AVERY,0.0162,17953,88.8,44,22.3,79,19.8,46516,4,4,2101
BEAUFORT,0.0144,47504,65.6,45,24.3,84.6,18.6,51959,25,7,10720
BERTIE,0.0167,19802,83.2,45,24.1,74.8,11.5,41704,62,1,2991
BLADEN,0.1131,34507,91.2,43,25.4,78.4,14.8,41122,35,7,8110
BRUNSWICK,0.0121,131887,43,51,24.3,88,27,59436,11,5,39249
BUNCOMBE,0.0145,259317,24.1,42,20.2,90,36.6,60556,6,6,82068
BURKE,0.0094,90776,42.7,43,21.4,79.6,16.9,49962,7,5,17456
CABARRUS,0.0265,205204,19.3,38,27.5,88.9,28.6,70368,15,9,37603
CALDWELL,0.0096,83230,34.4,44,23.3,77.6,13.8,49762,5,5,16272
CAMDEN,0.0116,10358,99.6,41,34,83.2,20.4,70822,13,2,2153
CARTERET,0.0097,70216,32.6,47,23.6,90,25.9,62603,6,3,15620
CASWELL,0.0122,23255,99.2,45,32.2,75.1,13.2,48183,34,3,4082
CATAWBA,0.0096,157376,30.3,41,22.9,83.4,21.6,56497,8,8,31517
CHATHAM,0.014,72736,65.9,47,28.4,86.9,38.8,71990,13,13,24821
CHEROKEE,0.0151,28941,100,50,23.1,84.2,19.2,45100,1,3,5483
CHOWAN,0.0111,14243,67.6,45,26.2,84.2,20.1,47605,34,3,3320
CLAY,0.0085,11487,100,51,20.4,88,21,45906,1,2,3189
CLEVELAND,0.0102,98427,55.8,42,23.4,83.5,16.3,49073,21,3,18259
COLUMBUS,0.0245,56649,80.6,42,25.8,80.7,12,47048,30,5,8904
CRAVEN,0.0125,103557,27.7,36,21.5,87.3,22.5,55998,22,6,20388
CUMBERLAND,0.0318,329017,13.4,32,20.8,90.3,24.1,52339,36,9,50782
CURRITUCK,0.0175,26666,98.3,43,36,87.2,21.9,74304,6,3,3318
DARE,0.0171,36722,29,45,19.4,92.5,29,63667,2,7,8949
DAVIDSON,0.0224,166716,47.4,42,24.3,82.4,18.2,54909,9,6,31561
DAVIE,0.0153,42686,70.3,44,27.1,85.5,23.6,60516,6,6,9416
DUPLIN,0.0114,59747,86.5,39,26.8,72,10.3,42587,25,21,6328
DURHAM,0.0167,307007,5.6,35,22.8,87.4,46.9,70724,37,13,85480
EDGECOMBE,0.0079,53156,45.3,40,21.8,77.4,10.4,40764,57,4,9667
FORSYTH,0.023,373625,7.4,38,21.1,87.9,33.6,60366,26,12,82435
FRANKLIN,0.022,66643,85.3,40,31.2,83.2,20.4,53788,26,8,15285
GASTON,0.0121,218754,19.7,40,24.8,83.2,19.8,53954,15,6,39662
GATES,0.0249,12043,100,45,36.7,85.3,14.5,60781,33,1,1604
GRAHAM,0.0104,8763,100,45,24.8,79,14,47188,0,2,2202
GRANVILLE,0.0148,60213,54.8,42,28.7,81.6,19.4,59521,32,7,13151
